# ===== 台湾 TW (7) =====
60.249.101.167:443#台湾 TW | 60.249.101.167:443
207.56.137.174:443#台湾 TW | 207.56.137.174:443
151.158.224.84:443#台湾 TW | 151.158.224.84:443
23.146.248.149:443#台湾 TW | 23.146.248.149:443
43.213.230.249:443#台湾 TW | 43.213.230.249:443
114.32.9.249:443#台湾 TW | 114.32.9.249:443
130.94.36.232:443#台湾 TW | 130.94.36.232:443

# ===== 新加坡 SG (5) =====
54.255.175.251:8443#新加坡 SG | 54.255.175.251:8443
161.117.181.127:443#新加坡 SG | 161.117.181.127:443
45.89.219.174:443#新加坡 SG | 45.89.219.174:443
47.236.119.109:443#新加坡 SG | 47.236.119.109:443
140.235.9.57:443#新加坡 SG | 140.235.9.57:443

# ===== 日本 JP (22) =====
124.156.215.193:443#日本 JP | 124.156.215.193:443
43.133.166.143:443#日本 JP | 43.133.166.143:443
45.94.40.102:443#日本 JP | 45.94.40.102:443
137.220.225.111:443#日本 JP | 137.220.225.111:443
47.242.28.106:443#日本 JP | 47.242.28.106:443
202.144.195.86:443#日本 JP | 202.144.195.86:443
74.82.197.122:443#日本 JP | 74.82.197.122:443
45.32.26.111:443#日本 JP | 45.32.26.111:443
45.76.97.162:443#日本 JP | 45.76.97.162:443
202.182.106.72:443#日本 JP | 202.182.106.72:443
104.238.150.161:443#日本 JP | 104.238.150.161:443
202.182.104.22:443#日本 JP | 202.182.104.22:443
202.182.110.147:443#日本 JP | 202.182.110.147:443
45.32.56.242:443#日本 JP | 45.32.56.242:443
167.179.119.229:443#日本 JP | 167.179.119.229:443
45.77.130.6:443#日本 JP | 45.77.130.6:443
104.238.161.103:443#日本 JP | 104.238.161.103:443
139.180.193.51:443#日本 JP | 139.180.193.51:443
45.77.129.201:443#日本 JP | 45.77.129.201:443
167.179.90.164:443#日本 JP | 167.179.90.164:443
202.182.108.246:8443#日本 JP | 202.182.108.246:8443
154.31.114.162:8443#日本 JP | 154.31.114.162:8443

# ===== 美国 US (3) =====
108.186.158.34:8443#美国 US | 108.186.158.34:8443
80.251.215.126:443#美国 US | 80.251.215.126:443
188.255.157.188:443#美国 US | 188.255.157.188:443

# ===== 香港 HK (21) =====
91.110.174.201:8443#香港 HK | 91.110.174.201:8443
91.110.174.198:8443#香港 HK | 91.110.174.198:8443
91.110.231.249:8443#香港 HK | 91.110.231.249:8443
91.110.174.202:8443#香港 HK | 91.110.174.202:8443
45.152.67.18:443#香港 HK | 45.152.67.18:443
91.110.174.173:8443#香港 HK | 91.110.174.173:8443
43.247.132.74:443#香港 HK | 43.247.132.74:443
38.207.176.130:443#香港 HK | 38.207.176.130:443
103.242.2.214:8443#香港 HK | 103.242.2.214:8443
68.64.183.37:443#香港 HK | 68.64.183.37:443
38.147.172.53:443#香港 HK | 38.147.172.53:443
207.57.128.105:443#香港 HK | 207.57.128.105:443
101.96.234.244:443#香港 HK | 101.96.234.244:443
45.152.64.16:443#香港 HK | 45.152.64.16:443
207.57.122.127:443#香港 HK | 207.57.122.127:443
207.57.123.77:443#香港 HK | 207.57.123.77:443
103.118.41.121:443#香港 HK | 103.118.41.121:443
68.64.178.52:443#香港 HK | 68.64.178.52:443
103.118.254.37:443#香港 HK | 103.118.254.37:443
149.104.6.130:443#香港 HK | 149.104.6.130:443
23.147.172.135:443#香港 HK | 23.147.172.135:443
